doc,aid,journal,year,authors,title
4429,10.2307/2061280,Demography,1991,Alice Goldstein,Temporary Migrants in Shanghai Households_ 1984
4430,10.2307/2061783,Demography,1996,Greg J. Duncan,Economic Mobility of Young Workers in the 1970s and 1980s
4431,10.2307/3401409,Population and Development Review,2004,Albert I. Hermalin,Levels of Support from Children in Taiwan: Expectations versus Reality_ 1965-99
4432,10.2307/2061827,Demography,1992,Christine E. Peterson,Why are Teenagers in the United States Less Likely to Breast-Feed than Older Women?
4433,10.2307/2061159,Demography,1984,James H. Mielke,Historical Epidemiology of Smallpox in Aland_ Finland: 1751-1890
4434,10.2307/2173823,Population Studies,1972,C. Chandrasekaran,`Continuation Rate'_ `Use-Effectiveness' and their Assessment for the Diaphragm and Jelly Method
4435,10.2307/3038308,Demography,1997,Suzanne Model,An Occupational Tale of Two Cities: Minorities in London and New York
4436,10.2307/2807924,Population and Development Review,1989,Jack Goody,Futures of the Family in Rural Africa
4437,10.2307/2061610,Demography,1989,Asmerom Kidane,Demographic Consequences of the 1984-1985 Ethiopian Famine
4438,10.2307/2061395,Demography,1987,Campbell Gibson,The Population in Large Urban Concentrations in the United States_ 1790- 1980: A Delineation Using Highly Urbanized Counties
4439,10.2307/3004054,Demography,1998,F. Nii-Amoo Dodoo,Men Matter: Additive and Interactive Gendered Preferences and Reproductive Behavior in Kenya
4440,10.2307/2060879,Demography,1973,Gerry E. Hendershot,Population Size_ Military Power_ and Antinatal Policy
4441,10.2307/25475993,Demography,2008,Matthew Hall,Does Human Capital Raise Earnings for Immigrants in the Low-Skill Labor Market?
4442,10.2307/1515157,Demography,2003,John Iceland,Why Poverty Remains High: The Role of Income Growth_ Economic Inequality_ and Changes in Family Structure_ 1949-1999
4443,10.2307/2061237,Demography,1983,S. Mitra,A Simple Model for Linking Life Tables by Survival Mortality Ratios
4444,10.2307/2174380,Population Studies,1983,J. Stern,The Relationship between Unemployment_ Morbidity and Mortality in Britain
4445,10.2307/2061389,Demography,1987,Narayan Das,Sex Preference and Fertility Behavior: A Study of Recent Indian Data
4446,10.2307/2061724,Demography,1992,Katharine M. Donato,Stemming The Tide? Assessing the Deterrent Effects of the Immigration Reform and Control Act
4447,10.2307/2060880,Demography,1973,C. R. Malaker,Construction of Nuptiality Tables for the Single Population in India: 1901-1931
4448,10.2307/2172141,Population Studies,1956,A. Ghosh,A Study of Demographic Trends in West Bengal during 1901-1950
4449,10.2307/2172577,Population Studies,1949,J. R. H. Shaul,Provisional Results of the Sample Survey of the African Population of Southern Rhodesia_ 1948
4450,10.2307/2174963,Population Studies,1994,Patrick R. Galloway,Fertility Decline in Prussia_ 1875-1910: A Pooled Cross-Section Time Series Analysis
4451,10.2307/2060607,Demography,1971,Peter A. Morrison,Chronic Movers and the Future Redistribution of Population: A Longitudinal Analysis
4452,10.2307/2061339,Demography,1991,John Knodel,Family Size and Children's Education in Thailand: Evidence from a National Sample
4453,10.2307/2060784,Demography,1977,Martin O'Connell,New Evidence on the Value of Birth Expectations
4454,10.2307/2061259,Demography,1989,Sandra L. Hanson,The Antecedents of Teenage Fatherhood
4455,10.2307/2174488,Population Studies,1985,J.-P. Habicht,The Contraceptive Role of Breastfeeding
4456,10.2307/2808062,Population and Development Review,1990,Ronald D. Lee,Long-Run Global Population Forecasts: A Critical Appraisal
4457,10.2307/2173751,Population Studies,1976,Bali Ram,Regional-Sub-cultural Explanations of Black Fertility in the United States
4458,10.2307/2060041,Demography,1964,Amos H. Hawley,Some Observations of Changes in Metropolitan Population in the United States
4459,10.2307/2060749,Demography,1973,D. Peter Mazur,Fertility and Economic Dependency of Soviet Women
4460,10.2307/25475978,Demography,2008,Katherine J. Curtis White,Population Change and Farm Dependence: Temporal and Spatial Variation in the U.S. Great Plains_ 1900-2000
4461,10.2307/2175056,Population Studies,1991,,Introduction
4462,10.2307/2584705,Population Studies,1999,Thomas W. Pullum,A Multivariate Analysis of Homogamy in Montevideo_ Uruguay
4463,10.2307/3038302,Demography,1997,Samuel H. Preston,Comment on Steven Ruggles's "The Rise of Divorce and Separation in the United States_ 1880-1990"
4464,10.2307/2648111,Demography,1999,Julie A. Phillips,The New Labor Market: Immigrants and Wages after IRCA
4465,10.2307/2173019,Population Studies,1968,David A. May,Son Survivorship Motivation and Family Size in India: A Computer Simulation
4466,10.2307/2807914,Population and Development Review,1986,Annelise Anderson,Comment: [US Social Security Under Low Fertility]
4467,10.2307/40800829,Demography,2010,ZACHARY ZIMMER,SHIFTING CORESIDENCE NEAR THE END OF LIFE: COMPARING DECEDENTS AND SURVIVORS OF A FOLLOW-UP STUDY IN CHINA
4468,10.2307/2060033,Demography,1964,Pascal K. Whelpton,Trends and Differentials in the Spacing of Births
4469,10.2307/2061647,Demography,1993,Evelyn L. Lehrer,Religion as a Determinant of Marital Stability
4470,10.2307/2060260,Demography,1968,Edwin B. McDaniel,Trial of a Long-Acting_ Injectable Contraceptive as a Substitute for the IUCD and the Pill in a Remote Region of Thailand
4471,10.2307/2060614,Demography,1971,Nancy Phillips,The Prevalence of Surgical Sterilization in a Suburban Population
4472,10.2307/2061333,Demography,1991,W. A. V. Clark,Residential Preferences and Neighborhood Racial Segregation: A Test of the Schelling Segregation Model
4473,10.2307/20616494,Demography,2009,Sarah R. Hayford,The Evolution of Fertility Expectations over the Life Course
4474,10.2307/2061063,Demography,1985,Dennis P. Hogan,Migration Patterns during Italian Urbanization_ 1865-1921
4475,10.2307/2061164,Demography,1984,Eui-Hang Shin,Use of Surnames in Ethnic Research: The Case of Kims in the Korean-American Population
4476,10.2307/20058937,Population and Development Review,2006,,The European Defence Agency on Europe's Future in a Globalizing World
4477,10.2307/2060163,Demography,1966,Brajesh Bhatia,A Study in Family Planning Communication--Direct Mailing
4478,10.2307/40983118,Demography,2010,RONALD LEE,SOME MACROECONOMIC ASPECTS OF GLOBAL POPULATION AGING
4479,10.2307/2061013,Demography,1982,Clifford C. Clogg,Cohort Analysis of Recent Trends in Labor Force Participation
4480,10.2307/2174058,Population Studies,1982,A. O. Okore,A Rejoinder to David Lucas
4481,10.2307/1973761,Population and Development Review,1992,Sharon Stanton Russell,International Migration and Political Turmoil in the Middle East
4482,10.2307/2808109,Population and Development Review,1982,Reuben Gronau,Inequality of Family Income: Do Wives' Earnings Matter?
4483,10.2307/3115229,Population and Development Review,2003,,Charles Henry Pearson on the Decline of the Family
4484,10.2307/2061226,Demography,1979,John Bongaarts,Fertility Effect of Seasonal Migration and Seasonal Variation in Fecundability: Test of a Useful Approximation under more General Conditions
4485,10.2307/1971628,Population and Development Review,1976,Joseph E. Potter,The Rapid Decline in Colombian Fertility
4486,10.2307/1972080,Population and Development Review,1979,Roland J. Fuchs,Population Distribution Policies in Developed Socialist and Western Nations
4487,10.2307/2648107,Demography,1999,Lucia A. Nixon,The Educational Attainment of Young Women: Role Model Effects of Female High School Faculty
4488,10.2307/2648099,Demography,2000,Shelley Clark,Son Preference and Sex Composition of Children: Evidence from India
4489,10.2307/1973379,Population and Development Review,1985,Jeffrey B. Nugent,The Old-Age Security Motive for Fertility
4490,10.2307/2137407,Population and Development Review,1997,,China's Population Policy
4491,10.2307/2174733,Population Studies,1993,Bali Ram,Enduring Effects of Women's Early Employment Experiences on Child-spacing: The Canadian Evidence
4492,10.2307/30053084,Demography,2008,Michael T. Molla,Retrospective Information on Health Status and Its Application for Population Health Measures
4493,10.2307/1973018,Population and Development Review,1982,[Brent Scowcroft],United States International Population Policy
4494,10.2307/2175294,Population Studies,1992,Michael Wintle,Push-factors in Emigration: The Case of the Province of Zeeland in the Nineteenth Century
4495,10.2307/3092735,Population and Development Review,2003,Steven Ruggles,Measurement of Household and Family Composition in the United States_ 1850-2000
4496,10.2307/2172900,Population Studies,1969,Harvey Leibenstein,Pitfalls in Benefit-Cost Analysis of Birth Prevention
4497,10.2307/20616497,Demography,2009,Ellen van de Poel,What Explains the Rural-Urban Gap in Infant Mortality: Household or Community Characteristics?
4498,10.2307/2137655,Population and Development Review,1994,,The Tokyo Declaration on Population and Development
4499,10.2307/2807898,Population and Development Review,1986,Nathan Keyfitz,The Family That Does Not Reproduce Itself
4500,10.2307/2174220,Population Studies,1987,A. Meredith John,The Effects of Breastfeeding and Nutrition on Fecundability in Rural Bangladesh: A Hazards-Model Analysis
4501,10.2307/2060920,Demography,1984,Noreen Goldman,Calculation of Life Tables from Survey Data: A Technical Note
4502,10.2307/1973674,Population and Development Review,1992,[Democratic Party],Population Issues in American Party Platforms
4503,10.2307/30040494,Population Studies,2006,David Henley,From Low to High Fertility in Sulawesi (Indonesia) during the Colonial Period: Explaining the 'First Fertility Transition'
4504,10.2307/2173701,Population Studies,1980,A. O. Okore,Rural-Urban Fertility Differentials in Southern Nigeria: An Assessment of Some Available Evidence
4505,10.2307/4137214,Demography,2006,Aree Jampaklay,How Does Leaving Home Affect Marital Timing? An Event-History Analysis of Migration and Marriage in Nang Rong_ Thailand
4506,10.2307/2060946,Demography,1981,Margaret Mooney Marini,Effects of the Timing of Marriage and First Birth of the Spacing of Subsequent Births
4507,10.2307/2174326,Population Studies,1987,J. Landers,Mortality and Metropolis: the Case of London 1675-1825
4508,10.2307/2061843,Demography,1993,Saul D. Hoffman,Reevaluating the Costs of Teenage Childbearing: Response to Geronimus and Korenman
4509,10.2307/2060623,Demography,1971,P. T. Liu,A Stochastic Approach to the Estimation of the Prevalence of IUD: Example of Taiwan_ Republic of China
4510,10.2307/2061840,Demography,1993,John R. Logan,Locational Returns to Human Capital: Minority Access to Suburban Community Resources
4511,10.2307/2060752,Demography,1973,John Isbister,Birth Control_ Income Redistribution_ and the Rate of Saving: The Case of Mexico
4512,10.2307/2137571,Population and Development Review,1997,Guy Stecklov,Intergenerational Resource Flows in Cote d'Ivoire: Empirical Analysis of Aggregate Flows
4513,10.2307/1972620,Population and Development Review,1981,C. Alison McIntosh,Low Fertility and Liberal Democracy in Western Europe
4514,10.2307/2175229,Population Studies,1993,Cynthia B. Lloyd,Women's Role in Maintaining Households: Family Welfare and Sexual Inequality in Ghana
4515,10.2307/25749201,Population and Development Review,2010,Tomas Frejka,East Asian Childbearing Patterns and Policy Developments
4516,10.2307/1971626,Population and Development Review,1976,DH,Population and the World Employment Conference
4517,10.2307/1973775,Population and Development Review,1992,[The Tenth Conference of Heads of State or Government of Non-Aligned Countries],The Non-Aligned Summit on Population and Development
4518,10.2307/2174330,Population Studies,1987,Gigi Santow,Reassessing the Contraceptive Effect of Breastfeeding
4519,10.2307/2172729,Population Studies,1962,J. R. Rele,Some Aspects of Family and Fertility in India
4520,10.2307/2175076,Population Studies,1997,M. Khlat,Fertility Levels and Differentials in Beirut During Wartime: An Indirect Estimation Based on Maternity Registers
4521,10.2307/2060496,Demography,1978,P. Cerone,The Stable Births Resulting From a Time Dependent Change Between Two Net Maternity Functions
4522,10.2307/2172110,Population Studies,1957,Bertram Hutchinson,Some Evidence Related to Matrimonial Selection and Immigrant Assimilation in Brazil
4523,10.2307/2174503,Population Studies,1983,J. C. Caldwell,The Causes of Marriage Change in South India
4524,10.2307/20058926,Population and Development Review,2006,Isabelle Attané,The Demographic Impact of a Female Deficit in China_ 2000-2050
4525,10.2307/25699064,Population and Development Review,2010,Kam Wing Chan,The Household Registration System and Migrant Labor in China: Notes on a Debate
4526,10.2307/2061305,Demography,1987,T. R. Balakrishnan,A Hazard Model Analysis of the Covariates of Marriage Dissolution in Canada
4527,10.2307/2172927,Population Studies,1967,D. Peter Mazur,Reconstruction of Fertility Trends for the Female Population of the U. S. S .R.
4528,10.2307/1972014,Population and Development Review,1976,Joseph J. Spengler,Adam Smith on Population Growth and Economic Development
4529,10.2307/2173757,Population Studies,1976,Michael S. Teitelbaum,Errata: Birth Underregistration in England and Wales
4530,10.2307/2174285,Population Studies,1986,J. W. Vaupel,How Change in Age-Specific Mortality Affects Life Expectancy
4531,10.2307/1972901,Population and Development Review,1983,Odile Frank,Infertility in sub-Saharan Africa: Estimates and Implications
4532,10.2307/3092886,Population Studies,2002,Dov Friedlander,Immigration_ Social Change and Assimilation: Educational Attainment among Birth Cohorts of Jewish Ethnic Groups in Israel_ 1925-29 to 1965-69
4533,10.2307/172453,Population and Development Review,2000,Margaret E. Greene,Absent and Problematic Men: Demographic Accounts of Male Reproductive Roles
4534,10.2307/2137797,Population and Development Review,1995,,World Conference on Women: The Beijing Declaration and the Platform for Action on Women and Health
4535,10.2307/2137494,Population and Development Review,1995,Etienne van de Walle,Fatal Secrets and the French Fertility Transition
4536,10.2307/2061034,Demography,1984,James A. Sweet,Components of Change in the Number of Households: 1970-1980
4537,10.2307/1972762,Population and Development Review,1981,Jean Bourgeois-Pichat,Recent Demographic Change in Western Europe: An Assessment
4538,10.2307/2173392,Population Studies,1973,Robert D. Retherford,Cigarette Smoking and Widowhood in the United States
4539,10.2307/25434659,Population and Development Review,2008,Tomáš Sobotka,The Contribution of Assisted Reproduction to Completed Fertility: An Analysis of Danish Data
4540,10.2307/2061670,Demography,1995,Linda J. Waite,Does Marriage Matter?
4541,10.2307/2173005,Population Studies,1968,,Belgian Population Society
4542,10.2307/2061218,Demography,1979,Lolagene C. Coombs,Some Roots of Preference: Roles_ Activities and Familial Values
4543,10.2307/1972733,Population and Development Review,1980,Patrick Festy,On the New Context of Marriage in Western Europe
4544,10.2307/2060916,Demography,1984,Harriet B. Presser,Job Characteristics of Spouses and their Work Shifts
4545,10.2307/2061166,Demography,1984,David A. Swanson,Improving the Measurement of Temporal Change in Regression Models Used for County Population Estimates
4546,10.2307/2060366,Demography,1967,William Haenszel,Concept_ Measurement_ and Data in Migration Analysis
4547,10.2307/2060491,Demography,1978,Larry L. Bumpass,Age and Marital Status at First Birth and the Pace of Subsequent Fertility
4548,10.2307/25651480,Demography,2008,JUI-CHUNG ALLEN LI,NO TREND IN THE INTERGENERATIONAL TRANSMISSION OF DIVORCE
4549,10.2307/2060682,Demography,1971,Albert Chevan,Family Growth_ Household Density_ and Moving
4550,10.2307/2584632,Population Studies,2000,Michael Murphy,The Evolution of Cohabitation in Britain_ 1960-95
4551,10.2307/2061454,Demography,1990,David J. Fein,Racial and Ethnic Differences in U.S. Census Omission Rates
4552,10.2307/2695125,Population and Development Review,2001,Alexander A. Weinreb,First Politics_ Then Culture: Accounting for Ethnic Differences in Demographic Behavior in Kenya
4553,10.2307/2172178,Population Studies,1951,H. B. M. Murphy,The Resettlement of Jewish Refugees in Israel_ with Special Reference to Those Known as Displaced Persons
4554,10.2307/2061709,Demography,1996,Barbara Entwisle,Community and Contraceptive Choice in Rural Thailand: A Case Study of Nang Rong
4555,10.2307/25749200,Population and Development Review,2010,Steven Ruggles,Stem Families and Joint Families in Comparative Historical Perspective
4556,10.2307/1973310,Population and Development Review,1984,The International Conference on Population,The International Conference on Population_ 1984
4557,10.2307/2173582,Population Studies,1972,Jack E. Eblen,Growth of the Black Population in ante bellum America_ 1820-1860
4558,10.2307/172481,Population and Development Review,1999,Jayant Banthia,Smallpox in Nineteenth-Century India
4559,10.2307/2584751,Population Studies,1998,Guido Pinto Aguirre,Effects of Lactation on Post-Partum Amenorrhoea: Re-Estimation Using Data from a Longitudinal Study in Guatemala
4560,10.2307/30040475,Population Studies,2005,Sören Edvinsson,High-Risk Families: The Unequal Distribution of Infant Mortality in Nineteenth-Century Sweden
4561,10.2307/2173579,Population Studies,1972,Donald Eilenstine,Projected Consumption Patterns for a Stationary Population
4562,10.2307/2061829,Demography,1992,Emily Rosenbaum,Race and Ethnicity in Housing: Turnover in New York City_ 1978-1987
4563,10.2307/2173487,Population Studies,1977,Terence H. Hull,The Relation of Economic Class and Fertility: An Analysis of Some Indonesian Data
4564,10.2307/2173761,Population Studies,1973,Allen C. Kelley,Population Growth_ the Dependency Rate_ and the Pace of Economic Development
4565,10.2307/2060748,Demography,1973,David Alvirez,The Effects of Formal Church Affiliation and Religiosity on the Fertility Patterns of Mexican-American Catholics
4566,10.2307/2060070,Demography,1966,Thomas K. Burch,The Fertility of North American Catholics: A Comparative Overview
4567,10.2307/25434588,Population and Development Review,2007,Francesco C. Billari,Approaching the Limit: Long-Term Trends in Late and Very Late Fertility
4568,10.2307/1972989,Population and Development Review,1982,Alain Girard,Ideal Family Size_ Fertility_ and Population Policy in Western Europe
4569,10.2307/2173122,Population Studies,1962,Vladimir Srb,Population Development and Population Policy in Czechoslovakia
4570,10.2307/2174638,Population Studies,1996,Nathan Keyfitz,Population Growth_ Development and the Environment
4571,10.2307/2060759,Demography,1975,Charles B. Keely,Effects of U. S. Immigration Law on Manpower Characteristics of Immigrants
4572,10.2307/30053096,Demography,2007,Robert A. Hummer,Paradox Found (Again): Infant Mortality among the Mexican-Origin Population in the United States
4573,10.2307/2060960,Demography,1980,Martin O'Connell,Comparative Estimates of Teenage Illegitimacy in the United States_ 1940-44 to 1970-74
4574,10.2307/27643362,Population Studies,2006,M. Giovanna Merli,Modelling the Spread of HIV/AIDS in China: The Role of Sexual Transmission
4575,10.2307/2695156,Population and Development Review,2001,Tomas Frejka,Cohort Reproductive Patterns in Low-Fertility Countries
4576,10.2307/2061156,Demography,1980,Scott J. South,A Note on Stability in the U.S. Metropolitan System: 1950-1970
4577,10.2307/2060647,Demography,1978,,Editor's Correction Notice
4578,10.2307/2172379,Population Studies,1953,K. R. Gabriel,The Fertility of the Jews in Palestine A Review of Research
4579,10.2307/172365,Population and Development Review,1999,,The United Nations on the Implementation of the Cairo Program of Action
4580,10.2307/25593682,Population and Development Review,2009,Joshua R. Goldstein,The End of "Lowest-Low" Fertility?
4581,10.2307/25593667,Population and Development Review,2009,,Charles Galton Darwin on Man's Control of His Numbers
4582,10.2307/2173918,Population Studies,1977,Gerald E. Markle,Family Limitation Among the Old Order Amish
4583,10.2307/2938457,Population and Development Review,1993,,Recommendations of the European Population Conference
4584,10.2307/2173729,Population Studies,1978,Robert D. Retherford,Age-Parity-Specific Birth Rates and Birth Probabilities from Census or Survey Data on Own Children
4585,10.2307/25434738,Population and Development Review,2008,Roland Rau,Continued Reductions in Mortality at Advanced Ages
4586,10.2307/2060374,Demography,1967,Arlyne I. Pozner,Forensic Demography and Civil Rights
4587,10.2307/2173794,Population Studies,1974,S. M. Farid,On the Tempo of Childbearing in England and Wales
4588,10.2307/30040495,Population Studies,2006,Ying Hong,Marital Decision-Making and the Timing of First Birth in Rural China before the 1990s
4589,10.2307/1973704,Population and Development Review,1989,Eileen M. Crimmins,Changes in Life Expectancy and Disability-Free Life Expectancy in the United States
4590,10.2307/2060891,Demography,1973,Phillips Cutright,Reactions to Blake and Das Gupta's "The Fallacy of the Five Million Women: A Re-Estimate"
4591,10.2307/2060393,Demography,1969,Eduardo E. Arriaga,The Pattern of Mortality Change in Latin America
4592,10.2307/2172099,Population Studies,1957,W. D. Borrie,The Population of Tikopia_ 1929 and 1952
4593,10.2307/172401,Population and Development Review,2000,Susan Cotts Watkins,Local and Foreign Models of Reproduction in Nyanza Province_ Kenya
4594,10.2307/2174236,Population Studies,1989,George Alter,Frailty_ Sickness_ and Death: Models of Morbidity and Mortality in Historical Populations
4595,10.2307/2648135,Demography,1999,Mark D. Hayward,Racial Inequality in Active Life among Adult Americans
4596,10.2307/2060915,Demography,1984,Barbara Entwisle,A Multilevel Model of Family Planning Availability and Contraceptive Use in Rural Thailand
4597,10.2307/1972225,Population and Development Review,1975,John Bongaarts,Why High Birth Rates Are So Low
4598,10.2307/1972505,Population and Development Review,1988,Susan Cotts Watkins,On the Role of Crises in Historical Perspective: Reply
4599,10.2307/30040435,Population Studies,2005,Nadezhda Aleshina,How High Is Infant Mortality in Central and Eastern Europe and the Commonwealth of Independent States?
4600,10.2307/2060234,Demography,1970,David D. McFarland,Effects of Group Size on the Availability of Marriage Partners
4601,10.2307/2061775,Demography,1996,Reynolds Farley,The Age of Extremes: A Revisionist Perspective
4602,10.2307/2807911,Population and Development Review,1986,Carolyn L. Weaver,Social Security in Aging Societies
4603,10.2307/2061039,Demography,1984,Jan M. Hoem,The Negligible Influence of Premarital Cohabitation on Marital Fertility in Current Danish Cohorts_ 1975
4604,10.2307/2172530,Population Studies,1958,Wolf Scott,Fertility and Social Mobility Among Teachers
4605,10.2307/30053101,Demography,2007,Robert L. Wagmiller Jr.,Race and the Spatial Segregation of Jobless Men in Urban America
4606,10.2307/2173285,Population Studies,1965,H. Yuan Tien,Sterilization_ Oral Contraception_ and Population Control in China
4607,10.2307/2060358,Demography,1967,Murray Gendell,Fertility and Development in Brazil
4608,10.2307/2172168,Population Studies,1955,W. J. L. Ryan,Some Irish Population Problems
4609,10.2307/1972275,Population and Development Review,1975,[The World Population Conference],World Population Plan of Action
4610,10.2307/2060410,Demography,1970,Ozzie L. Edwards,Patterns of Residential Segregation within a Metropolitan Ghetto
4611,10.2307/2172069,Population Studies,1959,J. G. C. Blacker,Fertility Trends of the Asian Population of Tanganyika
4612,10.2307/2061723,Demography,1992,,Correction
4613,10.2307/2172451,Population Studies,1952,Kenneth Smith,Some Observations on Modern Malthusianism
4614,10.2307/2060286,Demography,1968,Reuben Hill,A Classified International Bibliography of Family Planning Research_ 1955-68
4615,10.2307/1972115,Population and Development Review,1979,[Valery Giscard d'Estaing],President Giscard d'Estaing on Fertility Decline in France
4616,10.2307/2060250,Demography,1968,John C. Caldwell,The Control of Family Size in Tropical Africa
4617,10.2307/2808080,Population and Development Review,1990,Virginia Abernethy,Comment: The "One World" Thesis as an Obstacle to Environmental Preservation
4618,10.2307/3115273,Population and Development Review,2002,Vaclav Smil,Population and Environmental Services
4619,10.2307/2174754,Population Studies,1992,Kathleen E. Kiernan,The Impact of Family Disruption in Childhood on Transitions Made in Young Adult Life
4620,10.2307/3088338,Demography,2002,Sajeda Amin,Spatial Variation in Contraceptive Use in Bangladesh: Looking beyond the Borders
4621,10.2307/2060151,Demography,1970,J. Richard Udry,The Effect of the Great Blackout of 1965 on Births in New York City
4622,10.2307/2060774,Demography,1975,David J. Loschky,Reply to Kammeyer and Skidmore: "Demographic Transition: A Forcing Model"
4623,10.2307/2060921,Demography,1984,Mark A. Fossett,City Differences in Racial Occupational Differentiation: A Note on the Use of Odds Ratios
4624,10.2307/2137454,Population and Development Review,1996,,US Population and Sustainable Development
4625,10.2307/2807965,Population and Development Review,1984,Anne R. Pebley,Intervention Projects and the Study of Socioeconomic Determinants of Mortality
4626,10.2307/2173725,Population Studies,1978,Oiva Turpeinen,Infectious Diseases and Regional Differences in Finnish Death Rates_ 1749-1773
4627,10.2307/30053118,Demography,2007,George Alter,Widowhood_ Family Size_ and Post-Reproductive Mortality: A Comparative Analysis of Three Populations in Nineteenth-Century Europe
4628,10.2307/4148228,Population Studies,2004,Øystein Kravdal,Child Mortality in India: The Community-Level Effect of Education
4629,10.2307/2173744,Population Studies,1976,Ismail Ajami,Differential Fertility in Peasant Communities: A Study of Six Iranian Villages
4630,10.2307/2061006,Demography,1981,Michael R. Greenberg,A Note on the Changing Geography of Cancer Mortality Within Metropolitan Regions of the United States
4631,10.2307/1973135,Population and Development Review,1987,Martin King Whyte,Popular Response to China's Fertility Transition
4632,10.2307/2060253,Demography,1968,Donald F. Heisel,Attitudes and Practice of Contraception in Kenya
4633,10.2307/3657333,Population and Development Review,2004,Anne H. Gauthier,Are Parents Investing Less Time in Children? Trends in Selected Industrialized Countries
4634,10.2307/2172308,Population Studies,1950,,Corrigendum: Problems of Cultural Assimilation Arising from Population Transfers in Western Germany
4635,10.2307/2060988,Demography,1985,Daniel A. Seiver,Trend and Variation in the Seasonality of U.S. Fertility_ 1947-1976
4636,10.2307/1972401,Population and Development Review,1982,[Eileen N. Hennessy],The Heidelberg Manifesto: A German Reaction to Immigration
4637,10.2307/2060122,Demography,1965,Walter Mertens,Methodological Aspects of the Construction of Nuptiality Tables
4638,10.2307/3401440,Population and Development Review,2005,Lonnie W. Aarssen,Why Is Fertility Lower in Wealthier Countries? The Role of Relaxed Fertility-Selection
4639,10.2307/1515186,Demography,2004,Vicki A. Freedman,Resolving Inconsistencies in Trends in Old-Age Disability: Report from a Technical Working Group
4640,10.2307/2061591,Demography,1985,Ansley J. Coale,Calculation of Age-Specific Fertility Schedules from Tabulations of Parity in Two Censuses
4641,10.2307/2938464,Population and Development Review,1993,Richard A. Easterlin,Will the Baby Boomers be Less Well off Than Their Parents? Income_ Wealth_ and Family Circumstances over the Life Cycle in the United States
4642,10.2307/2807949,Population and Development Review,1994,Barbara B. Crane,The Transnational Politics of Abortion
4643,10.2307/2173693,Population Studies,1980,John Coward,Recent Characteristics of Roman Catholic Fertility in Northern and Southern Ireland
4644,10.2307/2060687,Demography,1971,K. B. Pathak,A Model for Estimating Fecundability of the Currently Married Woman from the Data on her Susceptibility Status--A Cohort Approach
4645,10.2307/2061355,Demography,1986,Richard Burkhauser,Marital Disruption and Poverty: The Role of Survey Procedures in Artificially Creating Poverty
4646,10.2307/3180806,Demography,2003,Robert Haveman,Social Security_ Age of Retirement_ and Economic Well-Being: Intertemporal and Demographic Patterns among Retired-Worker Beneficiaries
4647,10.2307/2137381,Population and Development Review,1997,Carla Makhlouf Obermeyer,Qualitative Methods: A Key to a Better Understanding of Demographic Behavior?
4648,10.2307/2061436,Demography,1986,William D. Mosher,Religion and Fertility in the United States: The Importance of Marriage Patterns and Hispanic Origin
4649,10.2307/2060427,Demography,1976,Daniel A. Seiver,Comment on W. Whitney Hicks' "Economic Development and Fertility Change in Mexico_ 1950-1970"
4650,10.2307/2173864,Population Studies,1979,Carl Mosk,The Decline of Marital Fertility in Japan
4651,10.2307/2174133,Population Studies,1984,R. Schoen,Twentieth-Century Cohort Marriage and Divorce in England and Wales
4652,10.2307/2060439,Demography,1974,Andrei Rogers,The Multiregional Net Maternity Function and Multiregional Stable Growth
4653,10.2307/2061695,Demography,1997,,Errata
4654,10.2307/3401513,Population and Development Review,2004,,The United Nations on World Population in 2300
4655,10.2307/2060135,Demography,1965,Otis Dudley Duncan,Marital Fertility and Size of Family of Orientation
4656,10.2307/2060544,Demography,1972,Edmund M. Murphy,A Gompertz Fit that Fits: Applications to Canadian Fertility Patterns
4657,10.2307/2173354,Population Studies,1968,Massimo Livi Bacci,Fertility and Nuptiality Changes in Spain from the Late 18th to the Early 20th Century: Part I
4658,10.2307/2060789,Demography,1977,Michael R. Haines,Mortality in Nineteenth Century America: Estimates From New York and Pennsylvania Census Data_ 1865 and 1900
4659,10.2307/3038300,Demography,1997,Steven Ruggles,The Rise of Divorce and Separation in the Unitd States_ 1880-1990
4660,10.2307/2174509,Population Studies,1983,R. Lee,Age Distribution Adjustments for English Census_ 1821 to 1931
4661,10.2307/1515193,Demography,2004,Nancy E. Reichman,Effects of Child Health on Parents' Relationship Status
4662,10.2307/25434632,Population and Development Review,2007,Damien de Walque,Sero-Discordant Couples in Five African Countries: Implications for Prevention Strategies
4663,10.2307/2174107,Population Studies,1985,P. R. Galloway,Annual Variations in Deaths by Age_ Deaths by Cause_ Prices_ and Weather in London 1670 to 1830
4664,10.2307/2061187,Demography,1982,R. Stephen Cantrell,Individual Mobility_ Population Growth and Labor Force Participation
4665,10.2307/2061608,Demography,1989,Thomas W. Pullum,Measuring Change and Continuity in Parity Distributions
4666,10.2307/2061464,Demography,1991,Thomas W. Pullum,Correlations Between Frequencies of Kin
4667,10.2307/2061306,Demography,1987,Robert H. Weller,Pregnancy Wantedness and Maternal Behavior During Pregnancy
4668,10.2307/1973544,Population and Development Review,1983,Nancy Birdsall,Income and Other Factors Influencing Fertility in China
4669,10.2307/1973137,Population and Development Review,1987,J. R. Rele,Fertility Levels and Trends in India_ 1951-81
4670,10.2307/2648114,Demography,1999,Robert A. Hummer,Religious Involvement and U.S. Adult Mortality
4671,10.2307/2172522,Population Studies,1949,You Poh Seng,Practical Problems in Sampling for Social and Demographic Inquiries in Undeveloped Countries
